rule_name,file_name,len(generated)_revised,len(reference)_revised,reviewed new_match,reviewed note,precision,recall,precision,,,,
"enslaved : Person(x) ? enslaved : hasOriginRecord(x, y) ? enslaved : OriginRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P46(hasEthnolinguisticDescriptor)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",alignment_output_OriginRecordRules_3.txt,4,5,1,,,0.2,0.25,,,,
"enslaved : Person(x) ? enslaved : hasOriginRecord(x, y) ? enslaved : OriginRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P46(hasEthnolinguisticDescriptor)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",alignment_output_OriginRecordRules_4.txt,6,5,4,,,0.8,0.67,,,,
"enslaved : Person(x) ? enslaved : hasOriginRecord(x, y) ? enslaved : OriginRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P46(hasEthnolinguisticDescriptor)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",alignment_output_OriginRecordRules_5.txt,4,5,4,,,0.8,1,,,,
"enslaved : Person(x) ? enslaved : hasOriginRecord(x, y) ? enslaved : OriginRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P46(hasEthnolinguisticDescriptor)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",alignment_output_OriginRecordRules_6.txt,5,5,3,,,0.6,0.6,,,,
"enslaved : Person(w) ? enslaved : hasOriginRecord(w, x) ? enslaved : OriginRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P46(hasEthnolinguisticDescriptor)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z)? ed : Q67(EntityWithProvenance)(z)",alignment_output_OriginRecordRules_7.txt,6,6,3,,,0.5,0.5,,,,
enslaved : ResearchProject(x) ? ed : Q172(ResearchProject)(x),alignment_output_ResearchProjectRules_1.txt,1,1,1,,,1,1,,,,
"enslaved : ResearchProject(x) ? enslaved : hasName(x, z) ? ed : Q172(ResearchProject)(x) ? ep : P20(hasName)(x, y)? wikibase : Statement(y) ? eps : P20(hasName)(y, z)",alignment_output_ResearchProjectRules_2.txt,4,2,2,,,1,0.5,,,,
,alignment_output_ResearchProjectRules_3.txt,2,4,1,,,0.25,0.5,,,,
enslaved : Place(x) ? ed : Q301(Place)(x),alignment_output_PlaceRules_1.txt,1,1,1,,,1,1,,,,
enslaved : Place(x) ? ed : Q301(Place)(x),alignment_output_PlaceRules_2.txt,3,1,0,,,0,0,,,,
enslaved : Place(x) ? ed : Q301(Place)(x),alignment_output_PlaceRules_3.txt,2,1,1,,,1,0.5,,,,
enslaved : PlaceTypeCV (x) ? ed : Q205(ControlledVocabularyforPlaceType)(x),alignment_output_PlaceRules_4.txt,3,3,3,,,1,1,,,,
enslaved : PlaceCV(x) ? ed : Q303403(PlaceName)(x),alignment_output_PlaceRules_5.txt,4,2,2,,,1,0.5,,,,
enslaved : PlaceCV(x) ? ed : Q303403(PlaceName)(x),alignment_output_PlaceRules_6.txt,2,2,2,,,1,1,,,,
enslaved : PlaceCV(x) ? ed : Q303403(PlaceName)(x),alignment_output_PlaceRules_7.txt,4,2,2,,,1,0.5,,,,
enslaved : PlaceTypeCV (x) ? ed : Q205(ControlledVocabularyforPlaceType)(x),alignment_output_PlaceRules_8.txt,4,3,1,,,0.33,0.25,,,,
enslaved : PlaceTypeCV (x) ? ed : Q205(ControlledVocabularyforPlaceType)(x),alignment_output_PlaceRules_9.txt,3,3,0,,,0,0,,,,
enslaved : Event(x) ? ed : Q238(Event)(x),alignment_output_EventRules_1.txt,1,1,1,,,1,1,,,,
enslaved : Event(x) ? ed : Q238(Event)(x),alignment_output_EventRules_2.txt,2,1,1,,,1,0.5,,,,
"enslaved : Event(x) ? enslaved : atPlace(x, z) ? enslaved : Place(z) ? ed : Q238(Event)(x) ? ep : P27(atPlace)(x, y) ? wikibase : Statement(y)? eps : P27(atPlace)(y, z) ? ed : Q301(Place)(z)",alignment_output_EventRules_3.txt,3,3,3,,,1,1,,,,
"enslaved : Event(x) ? enslaved : atPlace(x, z) ? enslaved : Place(z) ? ed : Q238(Event)(x) ? ep : P27(atPlace)(x, y) ? wikibase : Statement(y)? eps : P27(atPlace)(y, z) ? ed : Q301(Place)(z)",alignment_output_EventRules_4.txt,3,3,3,,,1,1,,,,
enslaved : EventTypes(x) ? ed : Q282(EventType)(x),alignment_output_EventRules_5.txt,4,2,2,,,1,0.5,,,,
"enslaved : Event(x) ? enslaved : hasEventType(x, z) ? enslaved : EventTypes(z) ? ed : Q238(Event)(x) ? ep : P30(hasEventType)(x, y) ? wikibase : Statement(y)? eps : P30(hasEventType)(y, z) ? ed : Q282(EventType)(z)",alignment_output_EventRules_6.txt,4,4,3,,,0.75,0.75,,,,
enslaved : EntityWithProvenance(x) ? ed : Q67(EntitywithProveance),alignment_output_EntityWithProvenanceRules_1.txt,1,1,1,,,1,1,,,,
"enslaved : EntityWithProvenance(x) ? enslaved : generatedBy(x, z) ? enslaved : ResearchProject(z) ? ed : Q67(EntitywithProvenance)(x) ? ep : P16(generatedBy)(x, y) ? wikibase : Statement(y)? eps : P16(generatedBy)(y, z) ? ed : Q172(ResearchProject)(z)",alignment_output_EntityWithProvenanceRules_2.txt,4,3,3,,,1,0.75,,,,
"enslaved : EntityWithProvenance(x) ? enslaved : generatedBy(x, z) ? enslaved : ResearchProject(z) ? ed : Q67(EntitywithProvenance)(x) ? ep : P16(generatedBy)(x, y) ? wikibase : Statement(y)? eps : P16(generatedBy)(y, z) ? ed : Q172(ResearchProject)(z)",alignment_output_EntityWithProvenanceRules_3.txt,4,3,3,,,1,0.75,,,,
"enslaved : EntityWithProvenance(x) ? enslaved : generatedBy(x, z) ? enslaved : ResearchProject(z) ? ed : Q67(EntitywithProvenance)(x) ? ep : P16(generatedBy)(x, y) ? wikibase : Statement(y)? eps : P16(generatedBy)(y, z) ? ed : Q172(ResearchProject)(z)",alignment_output_EntityWithProvenanceRules_4.txt,3,3,3,,,1,1,,,,
"enslaved : EntityWithProvenance(x) ? enslaved : reportsOn(x, z) ? enslaved : Event(z) ? ed : Q67(EntitywithProvenance)(x) ? ep : P25(reportsOn)(x, y) ? wikibase : Statement(y)? eps : P25(reportsOn)(y, z) ? ed : Q238(Event)(z)",alignment_output_EntityWithProvenanceRules_5.txt,3,2,2,,,1,0.67,,,,
"enslaved : EntityWithProvenance(x) ? enslaved : generatedBy(x, z) ? enslaved : ResearchProject(z) ? ed : Q67(EntitywithProvenance)(x) ? ep : P16(generatedBy)(x, y) ? wikibase : Statement(y)? eps : P16(generatedBy)(y, z) ? ed : Q172(ResearchProject)(z)",alignment_output_EntityWithProvenanceRules_6.txt,3,3,3,,,1,1,,,,
"enslaved : EntityWithProvenance(x) ? enslaved : hasLicenseInformation(x, z) ? enslaved : LicenseInformation(z) ? ed : Q67(EntitywithProvenance)(x) ? ep : P15(hasLicenseInfo)(x, y) ? wikibase : Statement(y)? eps : P15(hasLicenseInfo)(y, z) ? ed : Q433(LicenseInformation)(z)",alignment_output_EntityWithProvenanceRules_7.txt,3,4,3,,,0.75,1,,,,
,,,,,,,,,,,,
Sum,,372,380,260,,,0.68,0.7,,,,
